epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,743.852,1.23405,2.02435,1.15423,0.48755,0.33502,0.35628,0.25629,1.00464,1.48023,1.02811,0.0667753,3.32579e-05,3.32579e-05
2,1460.49,1.03521,1.35877,1.05354,0.68228,0.35256,0.40598,0.3045,0.89591,1.1859,0.98071,0.0334687,5.99328e-05,5.99328e-05
3,2401.87,0.94517,1.1128,1.01364,0.67284,0.41575,0.45468,0.34387,0.84773,1.01225,0.95782,0.000155356,7.99417e-05,7.99417e-05
4,3362.93,0.87817,1.0001,0.98707,0.72619,0.41617,0.48077,0.36326,0.81486,0.92983,0.94253,7.0003e-05,7.0003e-05,7.0003e-05
5,4349.98,0.84726,0.89049,0.95778,0.70608,0.42905,0.48186,0.36591,0.78806,0.89825,0.92537,6.0004e-05,6.0004e-05,6.0004e-05
6,5362.81,0.8184,0.82137,0.94524,0.67079,0.44931,0.49557,0.3804,0.76824,0.86988,0.92116,5.0005e-05,5.0005e-05,5.0005e-05
7,6313.52,0.78697,0.78369,0.93429,0.79132,0.43891,0.5118,0.39514,0.7481,0.80412,0.91174,4.0006e-05,4.0006e-05,4.0006e-05
8,6960.46,0.77138,0.73615,0.92955,0.79907,0.4509,0.51406,0.39501,0.75281,0.7801,0.91837,3.0007e-05,3.0007e-05,3.0007e-05
9,7598.39,0.76153,0.70206,0.92223,0.77278,0.45332,0.51924,0.40061,0.74006,0.7751,0.91458,2.0008e-05,2.0008e-05,2.0008e-05
10,8234.24,0.7609,0.7,0.9208,0.82477,0.45294,0.52566,0.40451,0.72714,0.76118,0.90869,1.0009e-05,1.0009e-05,1.0009e-05
